dataset,metric,metric_label,variant,variant_label,mean,std,seeds,delta_vs_colbertv2,delta_vs_calibrated_hkvm,candidate_mean,candidate_delta_vs_colbertv2,candidate_delta_vs_calibrated_hkvm,candidate_vs_colbertv2_ci_low,candidate_vs_colbertv2_ci_high,candidate_vs_colbertv2_p_diff_le_0,candidate_vs_calibrated_hkvm_ci_low,candidate_vs_calibrated_hkvm_ci_high,candidate_vs_calibrated_hkvm_p_diff_le_0
musique,f1,F1,colbertv2,ColBERTv2,58.309321991876935,0.0,3,0.0,1.5556711093965916,65.07268965687213,6.763367664995194,8.319038774391785,5.790957861107174,7.726274984852882,0.0,7.327224397116886,9.293333792182327,0.0
musique,f1,F1,calibrated_hkvm_topk4,Learned HKVM calibration,56.75365088248034,0.24927685895406687,3,-1.5556711093965916,0.0,65.07268965687213,6.763367664995194,8.319038774391785,5.790957861107174,7.726274984852882,0.0,7.327224397116886,9.293333792182327,0.0
musique,f1,F1,quota_dense3_hkvm2,Quota dense3+HKVM2,59.12053352413239,0.07559561194243157,3,0.8112115322554558,2.3668826416520474,65.07268965687213,6.763367664995194,8.319038774391785,5.790957861107174,7.726274984852882,0.0,7.327224397116886,9.293333792182327,0.0
musique,f1,F1,quota_dense4_hkvm1,Quota dense4+HKVM1,58.46313313696696,0.09004957246333842,3,0.15381114509002458,1.7094822544866162,65.07268965687213,6.763367664995194,8.319038774391785,5.790957861107174,7.726274984852882,0.0,7.327224397116886,9.293333792182327,0.0
musique,f1,F1,rrf_dense_hkvm,RRF dense+HKVM,58.419729640359826,0.09754260628238479,3,0.11040764848289086,1.6660787578794825,65.07268965687213,6.763367664995194,8.319038774391785,5.790957861107174,7.726274984852882,0.0,7.327224397116886,9.293333792182327,0.0
musique,f1,F1,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,58.419729640359826,0.09754260628238479,3,0.11040764848289086,1.6660787578794825,65.07268965687213,6.763367664995194,8.319038774391785,5.790957861107174,7.726274984852882,0.0,7.327224397116886,9.293333792182327,0.0
musique,f1,F1,controller_dense_only,Controller dense-only,58.24722977227297,0.1616142259802113,3,-0.062092219603961496,1.49357888979263,65.07268965687213,6.763367664995194,8.319038774391785,5.790957861107174,7.726274984852882,0.0,7.327224397116886,9.293333792182327,0.0
musique,f1,F1,controller_hkvm_only,Controller HKVM-only,56.760098716813985,0.2499715647952821,3,-1.5492232750629498,0.006447834333641822,65.07268965687213,6.763367664995194,8.319038774391785,5.790957861107174,7.726274984852882,0.0,7.327224397116886,9.293333792182327,0.0
musique,f1,F1,controller_dense_hkvm,Controller dense+HKVM,65.07268965687213,0.377665834328344,3,6.763367664995194,8.319038774391785,65.07268965687213,6.763367664995194,8.319038774391785,5.790957861107174,7.726274984852882,0.0,7.327224397116886,9.293333792182327,0.0
musique,em,EM,colbertv2,ColBERTv2,57.75755068266446,0.0,3,0.0,1.5446145359260797,64.72210729554544,6.964556612880983,8.509171148807063,5.985381326713557,7.9440766790787425,0.0,7.51620466142601,9.502137636188111,0.0
musique,em,EM,calibrated_hkvm_topk4,Learned HKVM calibration,56.21293614673838,0.25354814937043346,3,-1.5446145359260797,0.0,64.72210729554544,6.964556612880983,8.509171148807063,5.985381326713557,7.9440766790787425,0.0,7.51620466142601,9.502137636188111,0.0
musique,em,EM,quota_dense3_hkvm2,Quota dense3+HKVM2,58.64018756033651,0.07032160410416319,3,0.8826368776720486,2.4272514135981282,64.72210729554544,6.964556612880983,8.509171148807063,5.985381326713557,7.9440766790787425,0.0,7.51620466142601,9.502137636188111,0.0
musique,em,EM,quota_dense4_hkvm1,Quota dense4+HKVM1,57.97820990208247,0.08501467387903544,3,0.22065921941801037,1.76527375534409,64.72210729554544,6.964556612880983,8.509171148807063,5.985381326713557,7.9440766790787425,0.0,7.51620466142601,9.502137636188111,0.0
musique,em,EM,rrf_dense_hkvm,RRF dense+HKVM,57.90925389601434,0.1186363986628434,3,0.15170321334988301,1.6963177492759627,64.72210729554544,6.964556612880983,8.509171148807063,5.985381326713557,7.9440766790787425,0.0,7.51620466142601,9.502137636188111,0.0
musique,em,EM,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,57.90925389601434,0.1186363986628434,3,0.15170321334988301,1.6963177492759627,64.72210729554544,6.964556612880983,8.509171148807063,5.985381326713557,7.9440766790787425,0.0,7.51620466142601,9.502137636188111,0.0
musique,em,EM,controller_dense_only,Controller dense-only,57.75755068266446,0.14724973454739007,3,0.0,1.5446145359260797,64.72210729554544,6.964556612880983,8.509171148807063,5.985381326713557,7.9440766790787425,0.0,7.51620466142601,9.502137636188111,0.0
musique,em,EM,controller_hkvm_only,Controller HKVM-only,56.21293614673838,0.25354814937043346,3,-1.5446145359260797,0.0,64.72210729554544,6.964556612880983,8.509171148807063,5.985381326713557,7.9440766790787425,0.0,7.51620466142601,9.502137636188111,0.0
musique,em,EM,controller_dense_hkvm,Controller dense+HKVM,64.72210729554544,0.3450557441234803,3,6.964556612880983,8.509171148807063,64.72210729554544,6.964556612880983,8.509171148807063,5.985381326713557,7.9440766790787425,0.0,7.51620466142601,9.502137636188111,0.0
musique,all_recall@10,AR@10,colbertv2,ColBERTv2,49.31733553992553,0.0,3,0.0,-3.985657150737829,64.11529444214591,14.79795890222038,10.81230175148255,13.791201213625707,15.873672596883189,0.0,9.777961660460626,11.846986622534818,0.0
musique,all_recall@10,AR@10,calibrated_hkvm_topk4,Learned HKVM calibration,53.30299269066336,0.29125240769470173,3,3.985657150737829,0.0,64.11529444214591,14.79795890222038,10.81230175148255,13.791201213625707,15.873672596883189,0.0,9.777961660460626,11.846986622534818,0.0
musique,all_recall@10,AR@10,quota_dense3_hkvm2,Quota dense3+HKVM2,51.96524617294166,0.05851111139317829,3,2.6479106330161315,-1.3377465177216976,64.11529444214591,14.79795890222038,10.81230175148255,13.791201213625707,15.873672596883189,0.0,9.777961660460626,11.846986622534818,0.0
musique,all_recall@10,AR@10,quota_dense4_hkvm1,Quota dense4+HKVM1,51.30326851468763,0.05851111139317829,3,1.9859329747621004,-1.9997241759757287,64.11529444214591,14.79795890222038,10.81230175148255,13.791201213625707,15.873672596883189,0.0,9.777961660460626,11.846986622534818,0.0
musique,all_recall@10,AR@10,rrf_dense_hkvm,RRF dense+HKVM,62.94304233898772,0.1596446959424943,3,13.625706799062193,9.640049648324364,64.11529444214591,14.79795890222038,10.81230175148255,13.791201213625707,15.873672596883189,0.0,9.777961660460626,11.846986622534818,0.0
musique,all_recall@10,AR@10,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,62.94304233898772,0.1596446959424943,3,13.625706799062193,9.640049648324364,64.11529444214591,14.79795890222038,10.81230175148255,13.791201213625707,15.873672596883189,0.0,9.777961660460626,11.846986622534818,0.0
musique,all_recall@10,AR@10,controller_dense_only,Controller dense-only,52.17211419114605,0.17553333417953154,3,2.8547786512205207,-1.1308784995173085,64.11529444214591,14.79795890222038,10.81230175148255,13.791201213625707,15.873672596883189,0.0,9.777961660460626,11.846986622534818,0.0
musique,all_recall@10,AR@10,controller_hkvm_only,Controller HKVM-only,58.64018756033651,0.5461037063363207,3,9.322852020410977,5.337194869673148,64.11529444214591,14.79795890222038,10.81230175148255,13.791201213625707,15.873672596883189,0.0,9.777961660460626,11.846986622534818,0.0
musique,all_recall@10,AR@10,controller_dense_hkvm,Controller dense+HKVM,64.11529444214591,0.30277890498000665,3,14.79795890222038,10.81230175148255,64.11529444214591,14.79795890222038,10.81230175148255,13.791201213625707,15.873672596883189,0.0,9.777961660460626,11.846986622534818,0.0
musique,all_recall@5,AR@5,colbertv2,ColBERTv2,27.678940835746793,0.0,3,0.0,-7.916149496621159,43.74569024962074,16.06674941387395,8.15059991725279,14.963453316783891,17.15625430975038,0.0,7.185215832298994,9.102192800992967,0.0
musique,all_recall@5,AR@5,calibrated_hkvm_topk4,Learned HKVM calibration,35.59509033236795,0.019503703797726098,3,7.916149496621159,0.0,43.74569024962074,16.06674941387395,8.15059991725279,14.963453316783891,17.15625430975038,0.0,7.185215832298994,9.102192800992967,0.0
musique,all_recall@5,AR@5,quota_dense3_hkvm2,Quota dense3+HKVM2,30.699213901530822,0.05851111139317662,3,3.0202730657840284,-4.895876430837131,43.74569024962074,16.06674941387395,8.15059991725279,14.963453316783891,17.15625430975038,0.0,7.185215832298994,9.102192800992967,0.0
musique,all_recall@5,AR@5,quota_dense4_hkvm1,Quota dense4+HKVM1,29.692456212936147,0.05160194989344768,3,2.0135153771893535,-5.902634119431806,43.74569024962074,16.06674941387395,8.15059991725279,14.963453316783891,17.15625430975038,0.0,7.185215832298994,9.102192800992967,0.0
musique,all_recall@5,AR@5,rrf_dense_hkvm,RRF dense+HKVM,33.08509171148807,0.2833076621731363,3,5.406150875741275,-2.509998620879884,43.74569024962074,16.06674941387395,8.15059991725279,14.963453316783891,17.15625430975038,0.0,7.185215832298994,9.102192800992967,0.0
musique,all_recall@5,AR@5,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,33.08509171148807,0.2833076621731363,3,5.406150875741275,-2.509998620879884,43.74569024962074,16.06674941387395,8.15059991725279,14.963453316783891,17.15625430975038,0.0,7.185215832298994,9.102192800992967,0.0
musique,all_recall@5,AR@5,controller_dense_only,Controller dense-only,27.541028823610535,0.2171840538963395,3,-0.13791201213625826,-8.054061508757417,43.74569024962074,16.06674941387395,8.15059991725279,14.963453316783891,17.15625430975038,0.0,7.185215832298994,9.102192800992967,0.0
musique,all_recall@5,AR@5,controller_hkvm_only,Controller HKVM-only,35.553716728727075,0.039007407595452195,3,7.874775892980281,-0.04137360364087783,43.74569024962074,16.06674941387395,8.15059991725279,14.963453316783891,17.15625430975038,0.0,7.185215832298994,9.102192800992967,0.0
musique,all_recall@5,AR@5,controller_dense_hkvm,Controller dense+HKVM,43.74569024962074,0.4793310494271892,3,16.06674941387395,8.15059991725279,43.74569024962074,16.06674941387395,8.15059991725279,14.963453316783891,17.15625430975038,0.0,7.185215832298994,9.102192800992967,0.0
2wiki,f1,F1,colbertv2,ColBERTv2,77.76259809482275,0.0,3,0.0,-10.628628229850563,88.84614548665355,11.083547391830805,0.45491916198024285,10.739534662208888,11.436860955053916,0.0,0.3679902582574338,0.5421354382470794,0.0
2wiki,f1,F1,calibrated_hkvm_topk4,Learned HKVM calibration,88.39122632467331,0.09932670237050562,3,10.628628229850563,0.0,88.84614548665355,11.083547391830805,0.45491916198024285,10.739534662208888,11.436860955053916,0.0,0.3679902582574338,0.5421354382470794,0.0
2wiki,f1,F1,quota_dense3_hkvm2,Quota dense3+HKVM2,79.15356057158357,0.023312235808930715,3,1.3909624767608193,-9.237665753089743,88.84614548665355,11.083547391830805,0.45491916198024285,10.739534662208888,11.436860955053916,0.0,0.3679902582574338,0.5421354382470794,0.0
2wiki,f1,F1,quota_dense4_hkvm1,Quota dense4+HKVM1,78.13478904589411,0.009907961815366054,3,0.37219095107136013,-10.256437278779202,88.84614548665355,11.083547391830805,0.45491916198024285,10.739534662208888,11.436860955053916,0.0,0.3679902582574338,0.5421354382470794,0.0
2wiki,f1,F1,rrf_dense_hkvm,RRF dense+HKVM,86.56272859410723,0.10818357976620024,3,8.800130499284478,-1.8284977305660846,88.84614548665355,11.083547391830805,0.45491916198024285,10.739534662208888,11.436860955053916,0.0,0.3679902582574338,0.5421354382470794,0.0
2wiki,f1,F1,rrf_dense_hkvm_bm25,RRF dense+HKVM+BM25,86.56272859410723,0.10818357976620024,3,8.800130499284478,-1.8284977305660846,88.84614548665355,11.083547391830805,0.45491916198024285,10.739534662208888,11.436860955053916,0.0,0.3679902582574338,0.5421354382470794,0.0
2wiki,f1,F1,controller_dense_only,Controller dense-only,77.67871845955672,0.08850107187368475,3,-0.0838796352660296,-10.712507865116592,88.84614548665355,11.083547391830805,0.45491916198024285,10.739534662208888,11.436860955053916,0.0,0.3679902582574338,0.5421354382470794,0.0
2wiki,f1,F1,controller_hkvm_only,Controller HKVM-only,88.41508128650538,0.09932670237050664,3,10.652483191682634,0.023854961832071808,88.84614548665355,11.083547391830805,0.45491916198024285,10.739534662208888,11.436860955053916,0.0,0.3679902582574338,0.5421354382470794,0.0
2wiki,f1,F1,controller_dense_hkvm,Controller dense+HKVM,88.84614548665355,0.11046067182009019,3,11.083547391830805,0.45491916198024285,88.84614548665355,11.083547391830805,0.45491916198024285,10.739534662208888,11.436860955053916,0.0,0.3679902582574338,0.5421354382470794,0.0
2wiki,em,EM,colbertv2,ColBERTv2,77.19465648854961,0.0,3,0.0,-10.986535199321466,88.6582909245123,11.463634435962689,0.477099236641223,11.09520780322307,11.842663273960984,0.0,0.38963104325699743,0.5672179813401187,0.0
2wiki,em,EM,calibrated_hkvm_topk4,Learned HKVM calibration,88.18119168787108,0.10495647727535314,3,10.986535199321466,0.0,88.6582909245123,11.463634435962689,0.477099236641223,11.09520780322307,11.842663273960984,0.0,0.38963104325699743,0.5672179813401187,0.0
2wiki,em,EM,quota_dense3_hkvm2,Quota dense3+HKVM2,78.59679813401188,0.026239119318841635,3,1.4021416454622653,-9.5843935538592,88.6582909245123,11.463634435962689,0.477099236641223,11.09520780322307,11.842663273960984,0.0,0.38963104325699743,0.5672179813401187,0.0
2wiki,em,EM,quota_dense4_hkvm1,Quota dense4+HKVM1,77.56838422391857,0.006492498258012144,3,0.3737277353689592,-10.612807463952507,88.6582909245123,11.463634435962689,0.477099236641223,11.09520780322307,11.842663273960984,0.0,0.38963104325699743,0.5672179813401187,0.0
