dataset,split,variant,metric,mean,std,seeds
2wiki,all,colbertv2,all_recall@10,100.0,0.0,3
2wiki,all,colbertv2,all_recall@5,64.11418575063614,0.0,3
2wiki,all,colbertv2,answer_support_rate,77.19465648854961,0.0,3
2wiki,all,colbertv2,em,77.19465648854961,0.0,3
2wiki,all,colbertv2,f1,77.76259809482275,0.0,3
2wiki,all,colbertv2,mrr,0.9604941637384385,0.0,3
2wiki,all,colbertv2,recall@10,100.0,0.0,3
2wiki,all,colbertv2,recall@5,84.15235368956743,0.0,3
2wiki,all,controller_dense_hkvm,all_recall@10,100.0,0.0,3
2wiki,all,controller_dense_hkvm,all_recall@5,93.29940627650552,0.1582803077484491,3
2wiki,all,controller_dense_hkvm,answer_support_rate,88.6582909245123,0.12272939888454616,3
2wiki,all,controller_dense_hkvm,em,88.6582909245123,0.12272939888454616,3
2wiki,all,controller_dense_hkvm,f1,88.84614548665355,0.11046067182009019,3
2wiki,all,controller_dense_hkvm,mrr,0.972916098691385,0.0005586998651305565,3
2wiki,all,controller_dense_hkvm,recall@10,100.0,0.0,3
2wiki,all,controller_dense_hkvm,recall@5,97.00156382527565,0.07474014238545744,3
2wiki,all,controller_dense_only,all_recall@10,100.0,0.0,3
2wiki,all,controller_dense_only,all_recall@5,63.98960983884648,0.13716442995054395,3
2wiki,all,controller_dense_only,answer_support_rate,77.10718829516539,0.0901966684010475,3
2wiki,all,controller_dense_only,em,77.10718829516539,0.0901966684010475,3
2wiki,all,controller_dense_only,f1,77.67871845955672,0.08850107187368475,3
2wiki,all,controller_dense_only,mrr,0.9604778502261804,3.229952440349679e-06,3
2wiki,all,controller_dense_only,recall@10,100.0,0.0,3
2wiki,all,controller_dense_only,recall@5,84.10795695504665,0.036810709320215226,3
2wiki,all,controller_hkvm_only,all_recall@10,100.0,0.0,3
2wiki,all,controller_hkvm_only,all_recall@5,92.55460135708228,0.1371644299505503,3
2wiki,all,controller_hkvm_only,answer_support_rate,88.20504664970314,0.10495647727535935,3
2wiki,all,controller_hkvm_only,em,88.20504664970314,0.10495647727535935,3
2wiki,all,controller_hkvm_only,f1,88.41508128650538,0.09932670237050664,3
2wiki,all,controller_hkvm_only,mrr,0.9609227326426754,0.0016570210788248445,3
2wiki,all,controller_hkvm_only,recall@10,100.0,0.0,3
2wiki,all,controller_hkvm_only,recall@5,96.57813825275657,0.058552592330300246,3
2wiki,all,phase1c_mlp_topk_4,all_recall@10,99.02989821882952,0.07022710612538151,3
2wiki,all,phase1c_mlp_topk_4,all_recall@5,92.5307463952502,0.1371644299505449,3
2wiki,all,phase1c_mlp_topk_4,answer_support_rate,88.18119168787108,0.10495647727535314,3
2wiki,all,phase1c_mlp_topk_4,em,88.18119168787108,0.10495647727535314,3
2wiki,all,phase1c_mlp_topk_4,f1,88.39122632467331,0.09932670237050562,3
2wiki,all,phase1c_mlp_topk_4,mrr,0.9637270159335999,0.000671001722086928,3
2wiki,all,phase1c_mlp_topk_4,recall@10,99.56663486005088,0.03354021081118628,3
2wiki,all,phase1c_mlp_topk_4,recall@5,96.56621077184055,0.058552592330300246,3
2wiki,all,quota_dense3_hkvm2,all_recall@10,100.0,0.0,3
2wiki,all,quota_dense3_hkvm2,all_recall@5,65.94571670907548,0.04322918371050567,3
2wiki,all,quota_dense3_hkvm2,answer_support_rate,78.59679813401188,0.026239119318841635,3
2wiki,all,quota_dense3_hkvm2,em,78.59679813401188,0.026239119318841635,3
2wiki,all,quota_dense3_hkvm2,f1,79.15356057158357,0.023312235808930715,3
2wiki,all,quota_dense3_hkvm2,mrr,0.9607940231330021,0.0,3
2wiki,all,quota_dense3_hkvm2,recall@10,100.0,0.0,3
2wiki,all,quota_dense3_hkvm2,recall@5,85.26691051738761,0.01795247188313997,3
2wiki,all,rrf_dense_hkvm,all_recall@10,100.0,0.0,3
2wiki,all,rrf_dense_hkvm,all_recall@5,82.00010602205258,0.13374126178480378,3
2wiki,all,rrf_dense_hkvm,answer_support_rate,86.23038592027142,0.1071426152004187,3
2wiki,all,rrf_dense_hkvm,em,86.23038592027142,0.1071426152004187,3
2wiki,all,rrf_dense_hkvm,f1,86.56272859410723,0.10818357976620024,3
2wiki,all,rrf_dense_hkvm,mrr,0.9761482777306568,0.0004138666395041975,3
2wiki,all,rrf_dense_hkvm,recall@10,100.0,0.0,3
2wiki,all,rrf_dense_hkvm,recall@5,93.15892705682782,0.06665359261943345,3
