dataset,seed,split,variant,metric,value,n_examples
musique,13,all,colbertv2,f1,58.309321991876935,2417
musique,13,all,colbertv2,em,57.75755068266446,2417
musique,13,all,colbertv2,all_recall@10,49.31733553992553,2417
musique,13,all,colbertv2,all_recall@5,27.678940835746793,2417
musique,13,all,colbertv2,answer_support_rate,57.75755068266446,2417
musique,13,all,colbertv2,recall@5,60.36408771203972,2417
musique,13,all,colbertv2,recall@10,76.54461453592609,2417
musique,13,all,colbertv2,mrr,0.8127161442428302,2417
musique,13,all,phase1c_mlp_topk_4,f1,56.438640650217316,2417
musique,13,all,phase1c_mlp_topk_4,em,55.89573851882499,2417
musique,13,all,phase1c_mlp_topk_4,all_recall@10,52.91683905668184,2417
musique,13,all,phase1c_mlp_topk_4,all_recall@5,35.581299131154324,2417
musique,13,all,phase1c_mlp_topk_4,answer_support_rate,55.89573851882499,2417
musique,13,all,phase1c_mlp_topk_4,recall@5,65.83574679354572,2417
musique,13,all,phase1c_mlp_topk_4,recall@10,77.5203420217901,2417
musique,13,all,phase1c_mlp_topk_4,mrr,0.8023903106960616,2417
musique,13,all,controller_dense_only,f1,58.019016368878866,2417
musique,13,all,controller_dense_only,em,57.550682664460076,2417
musique,13,all,controller_dense_only,all_recall@10,52.04799338022342,2417
musique,13,all,controller_dense_only,all_recall@5,27.347952006619778,2417
musique,13,all,controller_dense_only,answer_support_rate,57.550682664460076,2417
musique,13,all,controller_dense_only,recall@5,60.16411529444215,2417
musique,13,all,controller_dense_only,recall@10,78.19955868156117,2417
musique,13,all,controller_dense_only,mrr,0.8126553972851035,2417
musique,13,all,controller_hkvm_only,f1,56.438640650217316,2417
musique,13,all,controller_hkvm_only,em,55.89573851882499,2417
musique,13,all,controller_hkvm_only,all_recall@10,58.254033926354985,2417
musique,13,all,controller_hkvm_only,all_recall@5,35.581299131154324,2417
musique,13,all,controller_hkvm_only,answer_support_rate,55.89573851882499,2417
musique,13,all,controller_hkvm_only,recall@5,65.83574679354572,2417
musique,13,all,controller_hkvm_only,recall@10,81.63011998345056,2417
musique,13,all,controller_hkvm_only,mrr,0.8041818534060984,2417
musique,13,all,quota_dense3_hkvm2,f1,59.1951035242299,2417
musique,13,all,quota_dense3_hkvm2,em,58.709143566404634,2417
musique,13,all,quota_dense3_hkvm2,all_recall@10,51.882498965659906,2417
musique,13,all,quota_dense3_hkvm2,all_recall@5,30.61646669424907,2417
musique,13,all,quota_dense3_hkvm2,answer_support_rate,58.709143566404634,2417
musique,13,all,quota_dense3_hkvm2,recall@5,64.40146186732865,2417
musique,13,all,quota_dense3_hkvm2,recall@10,78.45124810370983,2417
musique,13,all,quota_dense3_hkvm2,mrr,0.8156009680109805,2417
musique,13,all,rrf_dense_hkvm,f1,58.30191077616115,2417
musique,13,all,rrf_dense_hkvm,em,57.75755068266446,2417
musique,13,all,rrf_dense_hkvm,all_recall@10,63.01199834505586,2417
musique,13,all,rrf_dense_hkvm,all_recall@5,32.685146876292926,2417
musique,13,all,rrf_dense_hkvm,answer_support_rate,57.75755068266446,2417
musique,13,all,rrf_dense_hkvm,recall@5,63.47400358571232,2417
musique,13,all,rrf_dense_hkvm,recall@10,84.04358019583506,2417
musique,13,all,rrf_dense_hkvm,mrr,0.8267459004012583,2417
musique,13,all,controller_dense_hkvm,f1,65.59814371161626,2417
musique,13,all,controller_dense_hkvm,em,65.20479933802234,2417
musique,13,all,controller_dense_hkvm,all_recall@10,63.88084402151427,2417
musique,13,all,controller_dense_hkvm,all_recall@5,43.85601985932975,2417
musique,13,all,controller_dense_hkvm,answer_support_rate,65.20479933802234,2417
musique,13,all,controller_dense_hkvm,recall@5,72.22107295545442,2417
musique,13,all,controller_dense_hkvm,recall@10,84.45042063163702,2417
musique,13,all,controller_dense_hkvm,mrr,0.853574876371732,2417
musique,13,analysis_train_slice,colbertv2,f1,58.910379730688106,1671
musique,13,analysis_train_slice,colbertv2,em,58.408138839018555,1671
musique,13,analysis_train_slice,colbertv2,all_recall@10,49.31178934769599,1671
