dataset,seed,split,reference_variant,candidate_variant,metric,n_examples,reference_mean,candidate_mean,mean_diff,wins,losses,ties,win_rate,loss_rate
musique,13,all,colbertv2,controller_dense_hkvm,f1,2417,58.309321991876935,65.59814371161626,7.28882171973933,314,139,1964,0.12991311543235415,0.0575093090608192
musique,29,all,colbertv2,controller_dense_hkvm,f1,2417,58.309321991876935,64.72707263678019,6.417750644903257,306,154,1957,0.126603227141084,0.06371534960695077
musique,43,all,colbertv2,controller_dense_hkvm,f1,2417,58.309321991876935,64.89285262221993,6.583530630343006,345,189,1883,0.14273893256102607,0.07819611088125776
musique,13,all,colbertv2,controller_dense_hkvm,em,2417,57.75755068266446,65.20479933802234,7.447248655357882,303,123,1991,0.12536201903185767,0.050889532478278855
musique,29,all,colbertv2,controller_dense_hkvm,em,2417,57.75755068266446,64.41870086884568,6.661150186181216,296,135,1986,0.12246586677699628,0.05585436491518411
musique,43,all,colbertv2,controller_dense_hkvm,em,2417,57.75755068266446,64.54282167976831,6.785270997103848,334,170,1913,0.13818783616052957,0.0703351261894911
musique,13,all,colbertv2,controller_dense_hkvm,all_recall@10,2417,49.31733553992553,63.88084402151427,14.563508481588746,442,90,1885,0.18287132809267687,0.037236243276789406
musique,29,all,colbertv2,controller_dense_hkvm,all_recall@10,2417,49.31733553992553,64.54282167976831,15.225486139842781,460,92,1865,0.19031857674803476,0.03806371534960695
musique,43,all,colbertv2,controller_dense_hkvm,all_recall@10,2417,49.31733553992553,63.92221762515515,14.604882085229624,473,120,1824,0.1956971452213488,0.049648324369052546
musique,13,all,colbertv2,controller_dense_hkvm,all_recall@5,2417,27.678940835746793,43.85601985932975,16.177079023582955,482,91,1844,0.1994207695490277,0.03764997931319818
musique,29,all,colbertv2,controller_dense_hkvm,all_recall@5,2417,27.678940835746793,43.11129499379396,15.432354158047167,470,97,1850,0.19445593711212247,0.04013239553165081
musique,43,all,colbertv2,controller_dense_hkvm,all_recall@5,2417,27.678940835746793,44.26975589573852,16.590815059991726,514,113,1790,0.2126603227141084,0.046752172114191144
musique,13,all,colbertv2,controller_dense_hkvm,answer_support_rate,2417,57.75755068266446,65.20479933802234,7.447248655357882,303,123,1991,0.12536201903185767,0.050889532478278855
musique,29,all,colbertv2,controller_dense_hkvm,answer_support_rate,2417,57.75755068266446,64.41870086884568,6.661150186181216,296,135,1986,0.12246586677699628,0.05585436491518411
musique,43,all,colbertv2,controller_dense_hkvm,answer_support_rate,2417,57.75755068266446,64.54282167976831,6.785270997103848,334,170,1913,0.13818783616052957,0.0703351261894911
musique,13,all,colbertv2,controller_dense_hkvm,recall@5,2417,60.36408771203972,72.22107295545442,11.856985243414702,853,169,1395,0.35291683905668186,0.06992139015308234
musique,29,all,colbertv2,controller_dense_hkvm,recall@5,2417,60.36408771203972,71.6728727072128,11.30878499517308,813,186,1418,0.33636739760033096,0.07695490277203144
musique,43,all,colbertv2,controller_dense_hkvm,recall@5,2417,60.36408771203972,72.45207557578266,12.087987863742931,877,211,1329,0.36284650393049234,0.08729830368225072
musique,13,all,colbertv2,controller_dense_hkvm,recall@10,2417,76.54461453592609,84.45042063163702,7.905806095710936,624,134,1659,0.25817128671907325,0.05544062887877534
musique,29,all,colbertv2,controller_dense_hkvm,recall@10,2417,76.54461453592609,84.71590125499931,8.171286719073231,645,138,1634,0.26685974348365743,0.05709557302441043
musique,43,all,colbertv2,controller_dense_hkvm,recall@10,2417,76.54461453592609,84.36422562405185,7.819611088125775,650,177,1590,0.2689284236657013,0.07323127844435251
musique,13,all,colbertv2,controller_dense_hkvm,mrr,2417,0.8127161442428302,0.853574876371732,0.04085873212890176,431,296,1690,0.1783202316921804,0.12246586677699628
musique,29,all,colbertv2,controller_dense_hkvm,mrr,2417,0.8127161442428302,0.8327299682802372,0.02001382403740699,363,272,1782,0.15018618121638394,0.11253620190318576
musique,43,all,colbertv2,controller_dense_hkvm,mrr,2417,0.8127161442428302,0.8287219825180107,0.016005838275180435,481,502,1434,0.19900703351261895,0.20769549027720313
musique,13,all,phase1c_mlp_topk_4,controller_dense_hkvm,f1,2417,56.438640650217316,65.59814371161626,9.159503061398945,356,130,1931,0.14729002896152255,0.05378568473314026
musique,29,all,phase1c_mlp_topk_4,controller_dense_hkvm,f1,2417,56.77409818675057,64.72707263678019,7.952974450029623,361,169,1887,0.14935870914356641,0.06992139015308234
musique,43,all,phase1c_mlp_topk_4,controller_dense_hkvm,f1,2417,57.04821381047314,64.89285262221993,7.844638811746797,308,116,1993,0.12743069921390154,0.04799338022341746
musique,13,all,phase1c_mlp_topk_4,controller_dense_hkvm,em,2417,55.89573851882499,65.20479933802234,9.309060819197352,345,120,1952,0.14273893256102607,0.049648324369052546
musique,29,all,phase1c_mlp_topk_4,controller_dense_hkvm,em,2417,56.22672734795201,64.41870086884568,8.19197352089367,350,152,1915,0.1448076127430699,0.06288787753413322
musique,43,all,phase1c_mlp_topk_4,controller_dense_hkvm,em,2417,56.516342573438145,64.54282167976831,8.02647910633016,300,106,2011,0.12412081092263136,0.04385601985932975
musique,13,all,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@10,2417,52.91683905668184,63.88084402151427,10.964004964832437,392,127,1898,0.1621845262722383,0.05254447662391394
musique,29,all,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@10,2417,53.620190318576746,64.54282167976831,10.92263136119156,425,161,1831,0.17583781547372776,0.06661150186181217
musique,43,all,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@10,2417,53.37194869673149,63.92221762515515,10.550268928423666,361,106,1950,0.14935870914356641,0.04385601985932975
musique,13,all,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@5,2417,35.581299131154324,43.85601985932975,8.274720728175424,324,124,1969,0.13405047579644186,0.05130326851468763
musique,29,all,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@5,2417,35.6226727347952,43.11129499379396,7.488622258998759,324,143,1950,0.13405047579644186,0.059164253206454284
musique,43,all,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@5,2417,35.581299131154324,44.26975589573852,8.688456764584195,295,85,2037,0.1220521307405875,0.03516756309474555
musique,13,all,phase1c_mlp_topk_4,controller_dense_hkvm,answer_support_rate,2417,55.89573851882499,65.20479933802234,9.309060819197352,345,120,1952,0.14273893256102607,0.049648324369052546
musique,29,all,phase1c_mlp_topk_4,controller_dense_hkvm,answer_support_rate,2417,56.22672734795201,64.41870086884568,8.19197352089367,350,152,1915,0.1448076127430699,0.06288787753413322
musique,43,all,phase1c_mlp_topk_4,controller_dense_hkvm,answer_support_rate,2417,56.516342573438145,64.54282167976831,8.02647910633016,300,106,2011,0.12412081092263136,0.04385601985932975
musique,13,all,phase1c_mlp_topk_4,controller_dense_hkvm,recall@5,2417,65.83574679354572,72.22107295545442,6.3853261619087025,595,239,1583,0.24617294166321887,0.09888291270169632
musique,29,all,phase1c_mlp_topk_4,controller_dense_hkvm,recall@5,2417,65.7150737829265,71.6728727072128,5.957798924286306,590,275,1552,0.244104261481175,0.11377741001241208
musique,43,all,phase1c_mlp_topk_4,controller_dense_hkvm,recall@5,2417,65.91159840022065,72.45207557578266,6.540477175561992,544,179,1694,0.22507240380637153,0.07405875051717005
musique,13,all,phase1c_mlp_topk_4,controller_dense_hkvm,recall@10,2417,77.5203420217901,84.45042063163702,6.930078609846918,557,177,1683,0.23045097227968556,0.07323127844435251
musique,29,all,phase1c_mlp_topk_4,controller_dense_hkvm,recall@10,2417,77.88925665425458,84.71590125499931,6.826644600744725,580,216,1621,0.2399669011170873,0.08936698386429458
musique,43,all,phase1c_mlp_topk_4,controller_dense_hkvm,recall@10,2417,77.72376223969108,84.36422562405185,6.640463384360777,513,157,1747,0.21224658667769963,0.06495655771617707
musique,13,all,phase1c_mlp_topk_4,controller_dense_hkvm,mrr,2417,0.8023903106960616,0.853574876371732,0.051184565675670354,485,250,1682,0.20066197765825403,0.1034340091021928
musique,29,all,phase1c_mlp_topk_4,controller_dense_hkvm,mrr,2417,0.8026452837375468,0.8327299682802372,0.030084684542690334,496,400,1521,0.20521307405875053,0.16549441456350847
musique,43,all,phase1c_mlp_topk_4,controller_dense_hkvm,mrr,2417,0.8050641619218367,0.8287219825180107,0.023657820596173926,312,117,1988,0.12908564335953662,0.04840711625982623
musique,13,all,controller_dense_only,controller_dense_hkvm,f1,2417,58.019016368878866,65.59814371161626,7.579127342737401,317,134,1966,0.13115432354158046,0.05544062887877534
musique,29,all,controller_dense_only,controller_dense_hkvm,f1,2417,58.37218631001639,64.72707263678019,6.354886326763805,296,142,1979,0.12246586677699628,0.05875051717004551
musique,43,all,controller_dense_only,controller_dense_hkvm,f1,2417,58.350486637923666,64.89285262221993,6.542365984296274,343,187,1887,0.14191146048820852,0.07736863880844022
musique,13,all,controller_dense_only,controller_dense_hkvm,em,2417,57.550682664460076,65.20479933802234,7.654116673562267,306,121,1990,0.126603227141084,0.050062060405461316
musique,29,all,controller_dense_only,controller_dense_hkvm,em,2417,57.88167149358709,64.41870086884568,6.537029375258585,286,128,2003,0.11832850641290857,0.05295821266032271
musique,43,all,controller_dense_only,controller_dense_hkvm,em,2417,57.840297889946214,64.54282167976831,6.702523789822093,332,170,1915,0.13736036408771204,0.0703351261894911
musique,13,all,controller_dense_only,controller_dense_hkvm,all_recall@10,2417,52.04799338022342,63.88084402151427,11.832850641290856,387,101,1929,0.16011584609019447,0.041787339677285894
