dataset,comparison_type,reference_source,reference_variant,reference_label,candidate_source,candidate_variant,candidate_label,metric,metric_label,pooled_mean_diff,pooled_ci_low,pooled_ci_high,pooled_p_diff_le_0,seed_mean_diff,seed_ci_low,seed_ci_high,seed_p_diff_le_0,n_seed_diffs,seed_sd_diff,source_path_before_reorg
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,f1,F1,-0.8347590170712249,-1.6101003162913698,-0.032860127788851085,0.98,-0.834759017071225,-1.0390112878133106,-0.6412631480295895,1.0,3,0.19909211638964694,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,em,EM,-0.8136808716039167,-1.599779340780582,-0.027582402427251414,0.9798,-0.8136808716039168,-1.034340091021928,-0.6206040546131568,1.0,3,0.20824257165275825,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,all_recall@10,AR@10,-1.034340091021928,-1.8066473589849676,-0.2206592194180113,0.9958,-1.034340091021928,-2.1514273893256104,-0.4551096400496483,1.0,3,0.9676471297911875,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,all_recall@5,AR@5,1.310164115294442,0.5930216521859054,2.013515377189353,0.0002,1.310164115294442,0.08274720728175423,2.3169218038891186,0.0,3,1.133314563731996,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,hyper_rag,phase1c_mlp_topk_4,Hyper-RAG / co-occurrence-HG only,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,f1,F1,9.578468445075078,8.498985384587371,10.64355658801797,0.0,9.57846844507508,9.374216174332993,9.771964314116715,0.0,3,0.19909211638964755,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,hyper_rag,phase1c_mlp_topk_4,Hyper-RAG / co-occurrence-HG only,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,em,EM,9.819335264101504,8.743621569438698,10.908840159977935,0.0,9.819335264101504,9.598676044683492,10.012412081092263,0.0,3,0.20824257165275828,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,hyper_rag,phase1c_mlp_topk_4,Hyper-RAG / co-occurrence-HG only,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,all_recall@10,AR@10,8.978071990070335,7.847193490553027,10.108950489587643,0.0,8.978071990070335,7.860984691766653,9.557302441042614,0.0,3,0.967647129791187,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,hyper_rag,phase1c_mlp_topk_4,Hyper-RAG / co-occurrence-HG only,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,all_recall@5,AR@5,7.226589435939871,6.343952558267826,8.164391118466419,0.0,7.226589435939871,5.999172527927183,8.233347124534546,0.0,3,1.1333145637319957,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,f1,F1,12.872971990404496,11.750074099044435,14.051554129382618,0.0,12.872971990404496,12.460997269900536,13.55662033294733,0.0,3,0.5961982822466039,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,em,EM,12.991311543235415,11.874224244931733,14.122190042752724,0.0,12.991311543235417,12.61894911046752,13.65328920148945,0.0,3,0.574780471222582,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,all_recall@10,AR@10,17.804440766790787,16.67356226727348,18.96290166873535,0.0,17.804440766790787,16.54944145635085,19.486967314853125,0.0,3,1.5147109283702163,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,hyper_rag,controller_dense_hkvm,BM25 + Hyper-RAG / co-occurrence-HG,weighted_hg_kv,controller_dense_hkvm,BM25 + WHG-KV,all_recall@5,AR@5,16.64597986484623,15.501310164115294,17.76306716314991,0.0,16.64597986484623,16.38394704178734,16.96317749275962,0.0,3,0.2935291222423491,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,static_hg,controller_dense_hkvm,BM25 + Static-HG,f1,F1,-0.17347071224021257,-0.8417275191837728,0.5184033162932625,0.6968,-0.1734707122402126,-0.767479773478946,0.49235572337862493,0.6344,3,0.6329807826725308,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,static_hg,controller_dense_hkvm,BM25 + Static-HG,em,EM,-0.1930768169907599,-0.8826368776720452,0.5102744449041512,0.7148,-0.19307681699075988,-0.8274720728175424,0.5378568473314026,0.7406,3,0.6877648677308886,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,static_hg,controller_dense_hkvm,BM25 + Static-HG,all_recall@10,AR@10,-0.48269204247689973,-1.4894497310715764,0.48269204247689973,0.8406,-0.48269204247689973,-2.5651634257343816,2.027306578402979,0.634,3,2.3258933421176327,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_bm25,hyper_rag,bm25,BM25 only,static_hg,controller_dense_hkvm,BM25 + Static-HG,all_recall@5,AR@5,1.4342849262170736,0.7447248655357882,2.1238449868983587,0.0,1.4342849262170736,-0.04137360364087712,3.2271410839884154,0.0384,3,1.6571837004923486,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,static_hg,phase1c_mlp_topk_4,Static-HG only,static_hg,controller_dense_hkvm,BM25 + Static-HG,f1,F1,8.158081161452534,6.969843346412309,9.390079818216558,0.0,8.158081161452534,7.5640721002138,8.823907597071372,0.0,3,0.6329807826725313,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_bootstrap.csv
