dataset,comparison_type,reference_source,reference_variant,reference_label,candidate_source,candidate_variant,candidate_label,metric,metric_label,pooled_mean_diff,pooled_ci_low,pooled_ci_high,pooled_p_diff_le_0,seed_mean_diff,seed_ci_low,seed_ci_high,seed_p_diff_le_0,n_seed_diffs,seed_sd_diff,source_path_before_reorg
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,f1,F1,-1.9106858779117075,-2.4193541515087427,-1.4039353378189101,1.0,-1.9106858779117075,-3.344126987633189,-0.8912053681943434,1.0,3,1.2777827090489404,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,em,EM,-1.9169769686939733,-2.44104261481175,-1.4204937250034477,1.0,-1.9169769686939733,-3.392635498551924,-0.8688456764584195,1.0,3,1.3150906511368214,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,all_recall@10,AR@10,-0.08274720728175423,-0.7860984691766653,0.6481864570404082,0.5938,-0.0827472072817542,-1.1170872983036821,0.5378568473314026,0.7058,3,0.9017167860034492,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_colbertv2,hyper_rag,colbertv2,ColBERTv2 only,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,all_recall@5,AR@5,-0.013791201213625707,-0.565439249758654,0.5516480485450282,0.5192,-0.013791201213625722,-0.4551096400496483,0.2896152254861398,0.6034,3,0.3910480452008778,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,hyper_rag,phase1c_mlp_topk_4,Hyper-RAG / co-occurrence-HG only,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,f1,F1,20.76667381113058,19.581569266623916,21.94538984361078,0.0,20.76667381113058,19.3332327014091,21.786154320847945,0.0,3,1.2777827090489409,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,hyper_rag,phase1c_mlp_topk_4,Hyper-RAG / co-occurrence-HG only,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,em,EM,21.12812025927458,19.9558681561164,22.314163563646392,0.0,21.128120259274585,19.652461729416633,22.176251551510138,0.0,3,1.3150906511368217,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,hyper_rag,phase1c_mlp_topk_4,Hyper-RAG / co-occurrence-HG only,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,all_recall@10,AR@10,17.50103434009102,16.28740863329196,18.742242449317335,0.0,17.50103434009102,16.466694249069093,18.121638394704178,0.0,3,0.9017167860034493,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,controller_vs_source_only,hyper_rag,phase1c_mlp_topk_4,Hyper-RAG / co-occurrence-HG only,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,all_recall@5,AR@5,14.880706109502137,13.846366018480209,15.90125499931044,0.0,14.880706109502137,14.439387670666115,15.184112536201903,0.0,3,0.39104804520087816,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,weighted_hg_kv,controller_dense_hkvm,ColBERTv2 + WHG-KV,f1,F1,8.674053542906906,7.736541778941397,9.646886790497389,0.0,8.674053542906906,7.308956013097601,10.632948707372519,0.0,3,1.7397352043028926,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
musique,whg_kv_controller_vs_source_controller,hyper_rag,controller_dense_hkvm,ColBERTv2 + Hyper-RAG / co-occurrence-HG,weighted_hg_kv,controller_dense_hkvm,ColBERTv2 + WHG-KV,em,EM,8.881533581574955,7.916149496621156,9.86070886774238,0.0,8.881533581574955,7.529995862639635,10.839884153909805,0.0,3,1.7363774084167305,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_bootstrap.csv
