dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_dense,delta_vs_colbertv2,source_only_mean,source_only_delta_vs_dense,source_only_delta_vs_colbertv2,delta_vs_whg_kv_controller,source_path_before_reorg
musique,contriever_only,Contriever only,contriever,dense_baseline,f1,F1,55.56545706585863,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,contriever_only,Contriever only,contriever,dense_baseline,em,EM,54.90277203144394,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,contriever_only,Contriever only,contriever,dense_baseline,all_recall@10,AR@10,54.19942076954903,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,contriever_only,Contriever only,contriever,dense_baseline,all_recall@5,AR@5,28.465039304923458,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,contriever_only,Contriever only,contriever,dense_baseline,f1,F1,65.49835760201627,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,contriever_only,Contriever only,contriever,dense_baseline,em,EM,64.71055979643766,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,contriever_only,Contriever only,contriever,dense_baseline,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,contriever_only,Contriever only,contriever,dense_baseline,all_recall@5,AR@5,46.39790076335878,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,54.89026438517338,1.1664630929304334,3,-0.6751926806852495,-0.6751926806852495,35.631962302834644,-19.933494763023987,-19.933494763023987,-8.488167551785551,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,35.631962302834644,0.0,3,-19.933494763023987,-19.933494763023987,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,54.22700317197628,1.1878059853887446,3,-0.6757688594676594,-0.6757688594676594,34.712453454695904,-20.190318576748034,-20.190318576748034,-8.688456764584195,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,34.712453454695904,0.0,3,-20.190318576748034,-20.190318576748034,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,54.14425596469452,0.2730518531681596,3,-0.055164804854506144,-0.055164804854506144,31.73355399255275,-22.46586677699628,-22.46586677699628,-11.998345055854372,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,31.73355399255275,0.0,3,-22.46586677699628,-22.46586677699628,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,28.134050475796442,0.6576537866537785,3,-0.33098882912701555,-0.33098882912701555,12.78444352503103,-15.680595779892428,-15.680595779892428,-14.660046890084125,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,12.78444352503103,0.0,3,-15.680595779892428,-15.680595779892428,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,55.182372228617155,0.6401103151211862,3,-0.38308483724147635,-0.38308483724147635,37.7136378912882,-17.85181917457043,-17.85181917457043,-8.196059708341778,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,37.7136378912882,0.0,3,-17.85181917457043,-17.85181917457043,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
