seed,reference,candidate,metric,mean_diff,ci_low,ci_high,p_diff_le_0
29,colbertv2,controller_dense_hkvm,f1,5.812471365618246,4.933930610543351,6.661559034717078,0.0
29,colbertv2,controller_dense_hkvm,em,5.833896016205267,4.9561107359891965,6.617150573936529,0.0
29,colbertv2,controller_dense_hkvm,all_recall@10,0.0,0.0,0.0,1.0
29,colbertv2,controller_dense_only,f1,0.1231387646202337,-0.5338059045013804,0.7713729474860669,0.377
29,colbertv2,controller_dense_only,em,0.09453072248480757,-0.5806887238352465,0.7697501688048616,0.417
29,colbertv2,controller_dense_only,all_recall@10,0.0,0.0,0.0,1.0
29,colbertv2,controller_hkvm_only,f1,2.984401861174311,2.0238359809595465,3.9740538287624902,0.0
29,colbertv2,controller_hkvm_only,em,2.9709655638082375,2.025658338960162,3.9162727886563133,0.0
29,colbertv2,controller_hkvm_only,all_recall@10,0.0,0.0,0.0,1.0
29,colbertv2,phase1c_mlp_topk_4,f1,2.984401861174311,1.942074918104627,3.913729000474841,0.0
29,colbertv2,phase1c_mlp_topk_4,em,2.9709655638082375,2.039162727886563,3.848750844024308,0.0
29,colbertv2,phase1c_mlp_topk_4,all_recall@10,-3.5651586765698853,-3.9837947332883186,-3.1330182309250505,1.0
29,colbertv2,quota_dense3_hkvm2,f1,1.050789858352316,0.7640697512405817,1.355886817061699,0.0
29,colbertv2,quota_dense3_hkvm2,em,1.0533423362592842,0.7292370020256583,1.3639432815665091,0.0
29,colbertv2,quota_dense3_hkvm2,all_recall@10,0.0,0.0,0.0,1.0
29,colbertv2,quota_dense4_hkvm1,f1,1.010276691573113,0.7159057462906214,1.316953284542751,0.0
29,colbertv2,quota_dense4_hkvm1,em,1.012829169480081,0.7157326130992573,1.3234301147873058,0.0
29,colbertv2,quota_dense4_hkvm1,all_recall@10,0.0,0.0,0.0,1.0
29,colbertv2,rrf_dense_hkvm,f1,3.432121445963443,2.6950527902587327,4.12646154205911,0.0
29,colbertv2,rrf_dense_hkvm,em,3.4571235651586765,2.714382174206617,4.172856178257934,0.0
29,colbertv2,rrf_dense_hkvm,all_recall@10,0.0,0.0,0.0,1.0
29,colbertv2,rrf_dense_hkvm_bm25,f1,3.432121445963443,2.710235746697596,4.127815840847576,0.0
29,colbertv2,rrf_dense_hkvm_bm25,em,3.4571235651586765,2.7278865631330182,4.078325455773126,0.0
29,colbertv2,rrf_dense_hkvm_bm25,all_recall@10,0.0,0.0,0.0,1.0
