seed,variant,metric,value
13,colbertv2,all_recall@10,100.0
13,colbertv2,all_recall@5,68.19716407832546
13,colbertv2,answer_support_rate,79.63538149898717
13,colbertv2,avg_retrieval_tokens,438.21404456448346
13,colbertv2,em,79.63538149898717
13,colbertv2,f1,79.84400128960641
13,colbertv2,gold_rank,1.2461850101282916
13,colbertv2,latency_seconds,0.0
13,colbertv2,mrr,0.9238724371134904
13,colbertv2,recall@10,100.0
13,colbertv2,recall@5,83.60567184334909
13,phase1c_mlp_topk_4,all_recall@10,96.4078325455773
13,phase1c_mlp_topk_4,all_recall@5,74.07157326130992
13,phase1c_mlp_topk_4,answer_support_rate,82.68737339635382
13,phase1c_mlp_topk_4,avg_retrieval_tokens,439.1164078325456
13,phase1c_mlp_topk_4,em,82.68737339635382
13,phase1c_mlp_topk_4,f1,82.90764838600164
13,phase1c_mlp_topk_4,gold_rank,1.4341661039837947
13,phase1c_mlp_topk_4,latency_seconds,0.0
13,phase1c_mlp_topk_4,mrr,0.8698982883722924
13,phase1c_mlp_topk_4,recall@10,98.16340310600945
13,phase1c_mlp_topk_4,recall@5,85.99594868332208
13,rrf_dense_hkvm,all_recall@10,100.0
13,rrf_dense_hkvm,all_recall@5,75.77312626603646
13,rrf_dense_hkvm,answer_support_rate,82.90344361917623
13,rrf_dense_hkvm,avg_retrieval_tokens,433.10452397029036
13,rrf_dense_hkvm,em,82.90344361917623
13,rrf_dense_hkvm,f1,83.09495492746079
13,rrf_dense_hkvm,gold_rank,1.2532072923700202
13,rrf_dense_hkvm,latency_seconds,0.0
13,rrf_dense_hkvm,mrr,0.9166743834603389
13,rrf_dense_hkvm,recall@10,100.0
13,rrf_dense_hkvm,recall@5,87.4679270762998
13,rrf_dense_hkvm_bm25,all_recall@10,100.0
13,rrf_dense_hkvm_bm25,all_recall@5,75.77312626603646
13,rrf_dense_hkvm_bm25,answer_support_rate,82.90344361917623
13,rrf_dense_hkvm_bm25,avg_retrieval_tokens,433.10452397029036
13,rrf_dense_hkvm_bm25,em,82.90344361917623
13,rrf_dense_hkvm_bm25,f1,83.09495492746079
13,rrf_dense_hkvm_bm25,gold_rank,1.2532072923700202
13,rrf_dense_hkvm_bm25,latency_seconds,0.0
13,rrf_dense_hkvm_bm25,mrr,0.9166743834603389
13,rrf_dense_hkvm_bm25,recall@10,100.0
13,rrf_dense_hkvm_bm25,recall@5,87.4679270762998
13,quota_dense4_hkvm1,all_recall@10,100.0
13,quota_dense4_hkvm1,all_recall@5,71.31667792032411
13,quota_dense4_hkvm1,answer_support_rate,80.64821066846726
13,quota_dense4_hkvm1,avg_retrieval_tokens,437.8018906144497
13,quota_dense4_hkvm1,em,80.64821066846726
13,quota_dense4_hkvm1,f1,80.85427798117952
13,quota_dense4_hkvm1,gold_rank,1.2403781228899393
13,quota_dense4_hkvm1,latency_seconds,0.0
13,quota_dense4_hkvm1,mrr,0.9240285950076632
13,quota_dense4_hkvm1,recall@10,100.0
13,quota_dense4_hkvm1,recall@5,85.30722484807562
13,quota_dense3_hkvm2,all_recall@10,100.0
13,quota_dense3_hkvm2,all_recall@5,71.3571910871033
13,quota_dense3_hkvm2,answer_support_rate,80.70222822417286
13,quota_dense3_hkvm2,avg_retrieval_tokens,437.8533423362593
13,quota_dense3_hkvm2,em,80.70222822417286
13,quota_dense3_hkvm2,f1,80.90829553688512
13,quota_dense3_hkvm2,gold_rank,1.2334908845374746
