seed,variant,metric,value
13,colbertv2,all_recall@10,49.31733553992553
13,colbertv2,all_recall@5,27.678940835746793
13,colbertv2,answer_support_rate,57.75755068266446
13,colbertv2,avg_retrieval_tokens,460.13032685146874
13,colbertv2,em,57.75755068266446
13,colbertv2,f1,58.309321991876935
13,colbertv2,gold_rank,1.68349193214729
13,colbertv2,latency_seconds,0.0
13,colbertv2,mrr,0.8127161442428302
13,colbertv2,recall@10,76.54461453592609
13,colbertv2,recall@5,60.36408771203972
13,phase1c_mlp_topk_4,all_recall@10,52.91683905668184
13,phase1c_mlp_topk_4,all_recall@5,35.581299131154324
13,phase1c_mlp_topk_4,answer_support_rate,55.89573851882499
13,phase1c_mlp_topk_4,avg_retrieval_tokens,470.25113777410013
13,phase1c_mlp_topk_4,em,55.89573851882499
13,phase1c_mlp_topk_4,f1,56.438640650217316
13,phase1c_mlp_topk_4,gold_rank,1.6545304095986761
13,phase1c_mlp_topk_4,latency_seconds,0.0
13,phase1c_mlp_topk_4,mrr,0.8023903106960616
13,phase1c_mlp_topk_4,recall@10,77.5203420217901
13,phase1c_mlp_topk_4,recall@5,65.83574679354572
13,rrf_dense_hkvm,all_recall@10,63.01199834505586
13,rrf_dense_hkvm,all_recall@5,32.685146876292926
13,rrf_dense_hkvm,answer_support_rate,57.75755068266446
13,rrf_dense_hkvm,avg_retrieval_tokens,463.0757136946628
13,rrf_dense_hkvm,em,57.75755068266446
13,rrf_dense_hkvm,f1,58.30191077616115
13,rrf_dense_hkvm,gold_rank,1.658254033926355
13,rrf_dense_hkvm,latency_seconds,0.0
13,rrf_dense_hkvm,mrr,0.8267459004012583
13,rrf_dense_hkvm,recall@10,84.04358019583506
13,rrf_dense_hkvm,recall@5,63.47400358571232
13,rrf_dense_hkvm_bm25,all_recall@10,63.01199834505586
13,rrf_dense_hkvm_bm25,all_recall@5,32.685146876292926
13,rrf_dense_hkvm_bm25,answer_support_rate,57.75755068266446
13,rrf_dense_hkvm_bm25,avg_retrieval_tokens,463.0757136946628
13,rrf_dense_hkvm_bm25,em,57.75755068266446
13,rrf_dense_hkvm_bm25,f1,58.30191077616115
13,rrf_dense_hkvm_bm25,gold_rank,1.658254033926355
13,rrf_dense_hkvm_bm25,latency_seconds,0.0
13,rrf_dense_hkvm_bm25,mrr,0.8267459004012583
13,rrf_dense_hkvm_bm25,recall@10,84.04358019583506
13,rrf_dense_hkvm_bm25,recall@5,63.47400358571232
13,quota_dense4_hkvm1,all_recall@10,51.220521307405875
13,quota_dense4_hkvm1,all_recall@5,29.62350020686802
13,quota_dense4_hkvm1,answer_support_rate,57.96441870086885
13,quota_dense4_hkvm1,avg_retrieval_tokens,458.34629706247415
13,quota_dense4_hkvm1,em,57.96441870086885
13,quota_dense4_hkvm1,f1,58.45831024905716
13,quota_dense4_hkvm1,gold_rank,1.6508067852709971
13,quota_dense4_hkvm1,latency_seconds,0.0
13,quota_dense4_hkvm1,mrr,0.8141162795279469
13,quota_dense4_hkvm1,recall@10,78.09267687215556
13,quota_dense4_hkvm1,recall@5,63.7325886084678
13,quota_dense3_hkvm2,all_recall@10,51.882498965659906
13,quota_dense3_hkvm2,all_recall@5,30.61646669424907
13,quota_dense3_hkvm2,answer_support_rate,58.709143566404634
13,quota_dense3_hkvm2,avg_retrieval_tokens,459.707488622259
13,quota_dense3_hkvm2,em,58.709143566404634
13,quota_dense3_hkvm2,f1,59.1951035242299
13,quota_dense3_hkvm2,gold_rank,1.6193628465039305
13,quota_dense3_hkvm2,latency_seconds,0.0
13,quota_dense3_hkvm2,mrr,0.8156009680109805
13,quota_dense3_hkvm2,recall@10,78.45124810370983
13,quota_dense3_hkvm2,recall@5,64.40146186732865
13,controller_dense_only,all_recall@10,52.04799338022342
13,controller_dense_only,all_recall@5,27.347952006619778
13,controller_dense_only,answer_support_rate,57.550682664460076
13,controller_dense_only,avg_retrieval_tokens,461.59660736450144
13,controller_dense_only,em,57.550682664460076
13,controller_dense_only,f1,58.019016368878866
13,controller_dense_only,gold_rank,1.6830781961108812
13,controller_dense_only,latency_seconds,0.0
13,controller_dense_only,mrr,0.8126553972851035
13,controller_dense_only,recall@10,78.19955868156117
13,controller_dense_only,recall@5,60.16411529444215
13,controller_hkvm_only,all_recall@10,58.254033926354985
13,controller_hkvm_only,all_recall@5,35.581299131154324
13,controller_hkvm_only,answer_support_rate,55.89573851882499
13,controller_hkvm_only,avg_retrieval_tokens,470.25113777410013
13,controller_hkvm_only,em,55.89573851882499
13,controller_hkvm_only,f1,56.438640650217316
13,controller_hkvm_only,gold_rank,1.7807199007033512
13,controller_hkvm_only,latency_seconds,0.0
13,controller_hkvm_only,mrr,0.8041818534060984
13,controller_hkvm_only,recall@10,81.63011998345056
13,controller_hkvm_only,recall@5,65.83574679354572
13,controller_dense_hkvm,all_recall@10,63.88084402151427
13,controller_dense_hkvm,all_recall@5,43.85601985932975
13,controller_dense_hkvm,answer_support_rate,65.20479933802234
13,controller_dense_hkvm,avg_retrieval_tokens,470.5614398014067
13,controller_dense_hkvm,em,65.20479933802234
13,controller_dense_hkvm,f1,65.59814371161626
13,controller_dense_hkvm,gold_rank,1.4832436905254447
13,controller_dense_hkvm,latency_seconds,0.0
13,controller_dense_hkvm,mrr,0.853574876371732
13,controller_dense_hkvm,recall@10,84.45042063163702
13,controller_dense_hkvm,recall@5,72.22107295545442
29,colbertv2,all_recall@10,49.31733553992553
29,colbertv2,all_recall@5,27.678940835746793
29,colbertv2,answer_support_rate,57.75755068266446
29,colbertv2,avg_retrieval_tokens,460.13032685146874
29,colbertv2,em,57.75755068266446
29,colbertv2,f1,58.309321991876935
29,colbertv2,gold_rank,1.68349193214729
29,colbertv2,latency_seconds,0.0
29,colbertv2,mrr,0.8127161442428302
29,colbertv2,recall@10,76.54461453592609
29,colbertv2,recall@5,60.36408771203972
29,phase1c_mlp_topk_4,all_recall@10,53.620190318576746
29,phase1c_mlp_topk_4,all_recall@5,35.6226727347952
29,phase1c_mlp_topk_4,answer_support_rate,56.22672734795201
29,phase1c_mlp_topk_4,avg_retrieval_tokens,466.13487794786926
29,phase1c_mlp_topk_4,em,56.22672734795201
29,phase1c_mlp_topk_4,f1,56.77409818675057
29,phase1c_mlp_topk_4,gold_rank,1.6698386429458005
29,phase1c_mlp_topk_4,latency_seconds,0.0
29,phase1c_mlp_topk_4,mrr,0.8026452837375468
29,phase1c_mlp_topk_4,recall@10,77.88925665425458
29,phase1c_mlp_topk_4,recall@5,65.7150737829265
29,rrf_dense_hkvm,all_recall@10,63.094745552337606
29,rrf_dense_hkvm,all_recall@5,33.30575093090608
29,rrf_dense_hkvm,answer_support_rate,58.0471659081506
29,rrf_dense_hkvm,avg_retrieval_tokens,462.0215142738933
29,rrf_dense_hkvm,em,58.0471659081506
29,rrf_dense_hkvm,f1,58.54077502412759
29,rrf_dense_hkvm,gold_rank,1.6549441456350849
29,rrf_dense_hkvm,latency_seconds,0.0
29,rrf_dense_hkvm,mrr,0.8290624938432137
29,rrf_dense_hkvm,recall@10,84.06081919735209
29,rrf_dense_hkvm,recall@5,63.622258998758795
29,rrf_dense_hkvm_bm25,all_recall@10,63.094745552337606
29,rrf_dense_hkvm_bm25,all_recall@5,33.30575093090608
29,rrf_dense_hkvm_bm25,answer_support_rate,58.0471659081506
29,rrf_dense_hkvm_bm25,avg_retrieval_tokens,462.0215142738933
29,rrf_dense_hkvm_bm25,em,58.0471659081506
29,rrf_dense_hkvm_bm25,f1,58.54077502412759
29,rrf_dense_hkvm_bm25,gold_rank,1.6549441456350849
29,rrf_dense_hkvm_bm25,latency_seconds,0.0
29,rrf_dense_hkvm_bm25,mrr,0.8290624938432137
29,rrf_dense_hkvm_bm25,recall@10,84.06081919735209
29,rrf_dense_hkvm_bm25,recall@5,63.622258998758795
29,quota_dense4_hkvm1,all_recall@10,51.34464211832851
